submission_id,age,assignment,condition,correct1,correct2,experiment_duration,experiment_end_time,experiment_start_time,image,languages,prob,response,response_time,strategy
15,33,correct1,2,Nobz,Grot,683153,1660309052589,1660308369436,images/e09_1917-233.3.jpg,deutsch,NA,Nobz,4323,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Grot,Nobz,683153,1660309052589,1660308369436,images/e07_1500-900.jpg,deutsch,NA,Nobz,3832,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Grot,Nobz,683153,1660309052589,1660308369436,images/e13_1917-766.7.jpg,deutsch,NA,Nobz,4064,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Nobz,Grot,683153,1660309052589,1660308369436,images/e01_1500-100.jpg,deutsch,NA,Grot,3156,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Grot,Nobz,683153,1660309052589,1660308369436,images/e13_1917-766.7.jpg,deutsch,NA,Nobz,3708,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Nobz,Grot,683153,1660309052589,1660308369436,images/e09_1917-233.3.jpg,deutsch,NA,Nobz,3749,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Nobz,Grot,683153,1660309052589,1660308369436,images/e01_1500-100.jpg,deutsch,NA,Nobz,3134,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Grot,Nobz,683153,1660309052589,1660308369436,images/e07_1500-900.jpg,deutsch,NA,Grot,2182,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Grot,Nobz,683153,1660309052589,1660308369436,images/e13_1917-766.7.jpg,deutsch,NA,Grot,2090,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Grot,Nobz,683153,1660309052589,1660308369436,images/e07_1500-900.jpg,deutsch,NA,Grot,2010,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Nobz,Grot,683153,1660309052589,1660308369436,images/e01_1500-100.jpg,deutsch,NA,Nobz,1803,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Nobz,Grot,683153,1660309052589,1660308369436,images/e09_1917-233.3.jpg,deutsch,NA,Nobz,1857,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Nobz,Grot,683153,1660309052589,1660308369436,images/e01_1500-100.jpg,deutsch,NA,Nobz,1903,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Nobz,Grot,683153,1660309052589,1660308369436,images/e09_1917-233.3.jpg,deutsch,NA,Nobz,1853,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Grot,Nobz,683153,1660309052589,1660308369436,images/e07_1500-900.jpg,deutsch,NA,Grot,1850,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
15,33,correct1,2,Grot,Nobz,683153,1660309052589,1660308369436,images/e13_1917-766.7.jpg,deutsch,NA,Grot,2638,"dunkel = nobz
hell = grot
hell und größer als bestimmen Quadrat = nobz"
